S.NO,ZONE ,DISTRICT,CLUSTER,SCHOOL NAME ,BOARD,STUDENT STRENGTH,PRIORITY,CORRESPONDENT/ PRINCIPAL,MOBILE NUMBERS,AREA,Procurement Month ,Lead Status,Last Visit,Next Follow-Up,Assigned Canvasser,Expected Order Value,Remarks
,,,,Buds Flourishing Hindu Vidyalaya Matric Higher Sec School,Matriculation,,,,,Dharapuram Road,,,,,,,
,,,,Spm Oxford Matriculation School,Matriculation,,,,,Vedasandur Road,,,,,,,
,,,,Buds Vidhyashram CBSE School,CBSE,,,,,Thangachiammapatti,,,,,,,
,,,,Triumph Academy Matriculation School,Matriculation,,,,,Oddanchatram Town Area,,,,,,,
,,,,Vivekanandhavan Academy,CBSE / Matric,,,,,Oddanchatram Peripheral,,,,,,,
,,,Palani Block,Akshaya Academy CBSE Senior Secondary School,CBSE,,,,,Dindigul Road / South Anna Nagar,,,,,,,
,,,,St. Peter's Matriculation School,Matriculation,,,,,Indra Nagar,,,,,,,
,,,,Sri Vinayaga Vidhyalaya Senior Secondary School,CBSE,,,,,Sivagiripatti,,,,,,,
,,,,Akshaya Academy Matriculation Higher Secondary School,Matriculation,,,,,Andavar Nagar / NH 209,,,,,,,
,,,,Ramachandra International Public School,CBSE,,,,,Palani Taluk / Dharapuram Road,,,,,,,
,,,,St. Paul's Matriculation School,Matriculation,,,,,Pandian Nagar,,,,,,,
,,,,Shri Vidhya Mandhir,CBSE,,,,,Palani-Udumalai Highway,,,,,,,
,,,,St. Joseph's Matric Higher Secondary School,Matriculation,,,,,New Tharapuram Road,,,,,,,
,,,,Bharat Public School,CBSE,,,,,Thoppampatti Area,,,,,,,
,,,Athoor Block,The Indian Public School (TIPS),IGCSE / CBSE,,,,,Pillayarnatham Village,,,,,,,
,,,,Prism Matric Higher Secondary School,Matriculation,,,,,Sembatti / Chennai-Theni Highway,,,,,,,
,,,,Parvathy's Anugrahaa International School,CBSE,,,,,Wisdom City / Madurai Main Road,,,,,,,
,,,,Vidya Sikshaa Matric Higher Secondary School,Matriculation,,,,,Bodikamanvadi / Chennai-Theni Hwy,,,,,,,
,,,,Nagalakshmi Matriculation School,Matriculation,,,,,Athoor Rural Tiers,,,,,,,
,,,,Victory Matriculation Higher Secondary School,Matriculation,,,,,Athoor Center,,,,,,,
,,,,Holy Cross Matriculation School,Matriculation,,,,,Sembatti Area,,,,,,,
,,,,Cheran Vidyalaya Matriculation Higher Secondary School,Matriculation,,,,,Athoor Town Margins,,,,,,,
,,,Sanarpatti,Vidhya Parthi National Academy,CBSE,,,,,Trichy-Dindigul Road / Seelapadi,,,,,,,
,,,,Pannai Matriculation School,Matriculation,,,,,Seelapadi Area,,,,,,,
,,,,Velammal Bodhi Campus,CBSE,,,,,Kovilur Post / East Ring Road,,,,,,,
,,,,St. Anthony's Convent School,CBSE,,,,,Sirumalai Road / Reddiyapatti,,,,,,,
,,,,Pannai CBSE School,CBSE,,,,,Seelapadi Campus,,,,,,,
,,,,Aravinth International Montessori School,CBSE / Montessori,,,,,Sanarpatti Peripheral Tiers,,,,,,,
,,,Guziliamparai,Kamban Vidhyalaya High School,Matriculation,,,,,Chinnaluppai / SH-74,,,,,,,
,,,,Chettinad Rani Meyyammai Matriculation School,Matriculation,,,,,Guziliamparai Town,,,,,,,
,,,,Hayagreevers Kongunad Academy,Matriculation,,,,,Guziliamparai Central,,,,,,,
,,,,E.N.P Nursery & Primary School,Matriculation,,,,,Dindigul-Karur Highway Tiers,,,,,,,
,,,,Kamban Vidyalaya Higher Secondary School,Matriculation,,,,,Chinnaluppai Rural,,,,,,,
,,,Kodaikanal Block,Kodaikanal International School,IB / IGCSE,,,,,Seven Roads Junction,,,,,,,
,,,,Bharatiya Vidya Bhavan's Gandhi Vidyashram,CBSE,,,,,Golf Links Road,,,,,,,
,,,,St. Peter's International School,CBSE / Matric,,,,,Laws Ghat Road / Pamparpuram,,,,,,,
,,,,Zion International CBSE School,CBSE,,,,,M.M. Street / Laws Ghat Rd,,,,,,,
,,,,Kodaikanal Public School,CBSE / ICSE,,,,,M.M. Street Area,,,,,,,
,,,,St. Thomas Matric Higher Secondary School,Matriculation,,,,,Naidupuram Area,,,,,,,
,,,,Sholai School (CLOAAT),NIOS / Cambridge,,,,,Pethuparai / Shenbaganur,,,,,,,
,,,,Brindavan Public School,CBSE / State,,,,,Gymkhana Road / Khilbhumi,,,,,,,
,,,,Kodai Iqra International School,CBSE / Islamic,,,,,Prakasapuram / Shenbaganur,,,,,,,
,,,,Vivekananda Vidyalaya Matric Higher Sec School,Matriculation,,,,,Pannaikadu Ghat Road,,,,,,,
,,Sivagangai,Sivagangai Urban,St. Joseph's Matriculation School,Matriculation,,,,,V.O.C. Street / Madurai Road,,,,,,,
,,,,Oxford Matriculation Higher Secondary School,Matriculation,,,,,Pudur Area,,,,,,,
,,,,St. Justin's Matriculation Higher Secondary School,Matriculation,,,,,Aranmanai Vaasal / Madurai Road,,,,,,,
,,,Sivagangai Rural,Mount Litera Zee School Sivagangai,CBSE,,,,,Sri Meenakshi Nagar / Kandangipatti,,,,,,,
,,,,Montfort School (CBSE),CBSE,,,,,Sundaranadappu / Madakottai Vilakku,,,,,,,
,,,,Nehruji Central Higher Secondary School,CBSE,,,,,Melur Main Road / Idayamelur,,,,,,,
,,,Karaikudi Cluster,Chettinadu Public School,CBSE,,,,,Madurai Main Road / Managiri,,,,,,,
,,,,Dr. Alagappa Academy,CBSE,,,,,Alagappapuram Town,,,,,,,
,,,Kallal Cluster,Shanthi Rani Matric Higher Secondary School,Matriculation,,,,,Kallal Town Area,,,,,,,
,,,Ilayangudi Cluster,Ilm Public School,CBSE,,,,,Ilayangudi-Sivagangai Road,,,,,,,
,,,Thiruppathur Cluster,21st Century Matriculation School,Matriculation,,,,,Thiruppathur Road,,,,,,,
,,,,Christhuraja School,Matriculation,,,,,Thiruppattur Town,,,,,,,
,,,Kalayarkoil Cluster,Auxilium Matric Higher Secondary School,Matriculation,,,,,Puliadithammam,,,,,,,
,,Ramanathapuram,Mandapam,Syed Ammal Public School,CBSE,,,,,Madurai-Mandapam Road,,,,,,,
,,,,Al-Qalam International School,International/CBSE,,,,,"NH87, Perungulam",,,,,,,
,,,,Christ The King International School,CBSE,,,,,"Meiyampuli, Thangachimadam",,,,,,,
,,,,Sri Saraswathi Vidyalaya Matric Higher Sec School,Matriculation,,,,,Regunathapuram,,,,,,,
,,,,ABCs Kenbridge School,CBSE,,,,,Naranamangalam Post,,,,,,,
,,,,Bukhariya Matriculation Higher Secondary School,Matriculation,,,,,"Palankottai Street, Devipattinam",,,,,,,
,,,,Vivekananda Vidyalaya Matriculation School,Matriculation,,,,,"Perumal Koil Street, Devipattinam",,,,,,,
,,,,Dr. ABJ Abdul Kalam Public School,CBSE,,,,,Mandapam Region,,,,,,,
,,,,Sri Venkatesha International Kids School,CBSE-Primary,,,,,Mandapam Camp,,,,,,,
,,,,Sriram Vadhyalaya Creative School,Matric/CBSE,,,,,Mandapam Camp,,,,,,,
,,,,Shifan Noor Global Academy,CBSE/Global,,,,,"Venkulam, Devipattinam Road",,,,,,,
,,,,Krishna International School,CBSE,,,,,"ECR, Devipattinam",,,,,,,
,,,,Mohamed Sathak Kabeer Public School,CBSE,,,,,Collectorate Campus Pattinamkattan,,,,,,,
,,,,National Academy Central School,CISCE (ICSE),,,,,Pattinamkattan,,,,,,,
,,,,Velumanickam Montessori Matric Higher Sec School,Matriculation,,,,,"Vaani, Ramanathapuram HO",,,,,,,
,,,Thiruppullani,KannadiVappa International School,CBSE,,,,,Koraikuttam / Kilakarai Road,,,,,,,
,,,,Islamiah Matric Higher Sec School,Matriculation,,,,,Kilakarai Region,,,,,,,
,,,,Pearl Matriculation School,Matriculation,,,,,Thiruppullani Perimeter,,,,,,,
,,,,Sri Saraswathi Vidyalaya Matric HSS,Matriculation,,,,,Regunathapuram,,,,,,,
,,,,Dheenya Matric Higher Sec School,Matriculation,,,,,Keelakarai,,,,,,,
,,,Thiruvadanai,Bhaarath International School,CBSE,,,,,"Chinnakeeramangalam, NH536",,,,,,,
,,,,Rajan Matric Higher Sec School,Matriculation,,,,,"Bharathi Nagar, Thiruvadanai",,,,,,,
,,,,Ameer Sulthan Academy School,CBSE/Primary,,,,,"Thondi, Thiruvadanai Region",,,,,,,
,,,,Rajan Nursery and Primary School,Matric/State,,,,,"Bharathinagar, Thiruvadanai",,,,,,,
,,,,Bodhi Vidhyalaya CBSE School,CBSE,,,,,Seyyaloor,,,,,,,
,,,Rajasingamangalam,Holy Angel's Matric Higher Secondary School,Matriculation,,,,,East Rajasingamangalam,,,,,,,
,,,,Winners Matriculation High School,Matriculation,,,,,"Pethardevankottai, R.S. Mangalam",,,,,,,
,,,,St. George Public School,CBSE,,,,,"Near Union Office, Trichy-Rameswaram Highway",,,,,,,
,,,,Excellent Nursery & Primary School,Matric/State,,,,,"Umar Pulavar Street, R.S. Mangalam",,,,,,,
,,,,Aarushi Global School,CBSE / Global,,,,,"Kulamanikkam, Sunthar Nagar",,,,,,,
,,,,Sri Amirta's School,Matriculation,,,,,"Uppoor Region, R.S. Mangalam Perimeter",,,,,,,
,,,,The Amirtha Nursery and Primary School,Matric/State,,,,,"Main Town Sector, Rajasingamangalam",,,,,,,
,,,Paramakudi,Ayira Vaisya Matriculation Higher Secondary School,Matriculation,,,,,Muthalamman Kovil Padithurai Street,,,,,,,
,,,,Don Bosco Matric Higher Secondary School,Matriculation,,,,,"Kattuparamakudi, Ilayangudi Road",,,,,,,
,,,,Dr. ABJ Abdul Kalam Public School,CBSE,,,,,"Otthakadai, Madurai-Rameswaram Highway",,,,,,,
,,,,Lions Matriculation Higher Secondary School,Matriculation,,,,,"National Highway 49, Paramakudi Town",,,,,,,
,,,,Seventh Day Adventist Matriculation School,Matriculation,,,,,"Five Lamp Area, Paramakudi",,,,,,,
,,,,VOC Matriculation School,Matriculation,,,,,Emaneswaram Sector,,,,,,,
,,,,Subhiksha Vidhyalayam Central School,CBSE,,,,,"Peraiyur Road, Paramakudi",,,,,,,
,,,,Udaiyar Matriculation School,Matriculation,,,,,Melakavanoor,,,,,,,
,,,,SMA Matriculation Higher Secondary School,Matriculation,,,,,Kottaimedu District Boundary,,,,,,,
,,,,Ashok Nursery & Primary School,Matric/State,,,,,Parthibanur Region,,,,,,,
,,,Mandapam,Syed Ammal Public School,CBSE,,,,,Madurai-Mandapam Road,,,,,,,
,,,,Al-Qalam International School,International/CBSE,,,,,"NH87, Perungulam",,,,,,,
,,,,Christ The King International School,CBSE,,,,,"Meiyampuli, Thangachimadam",,,,,,,
,,,,Sri Saraswathi Vidyalaya Matric Higher Sec School,Matriculation,,,,,Regunathapuram,,,,,,,
,,,,ABCs Kenbridge School,CBSE,,,,,Naranamangalam Post,,,,,,,
,,,,Bukhariya Matriculation Higher Secondary School,Matriculation,,,,,"Palankottai Street, Devipattinam",,,,,,,
,,,,Vivekananda Vidyalaya Matriculation School,Matriculation,,,,,"Perumal Koil Street, Devipattinam",,,,,,,
,,,,Dr. ABJ Abdul Kalam Public School,CBSE,,,,,Mandapam Region,,,,,,,
,,,,Sri Venkatesha International Kids School,CBSE-Primary,,,,,Mandapam Camp,,,,,,,
,,,,Sriram Vadhyalaya Creative School,Matric/CBSE,,,,,Mandapam Camp,,,,,,,
,,,,Shifan Noor Global Academy,CBSE/Global,,,,,"Venkulam, Devipattinam Road",,,,,,,
,,,,Krishna International School,CBSE,,,,,"ECR, Devipattinam",,,,,,,
,,,,Mohamed Sathak Kabeer Public School,CBSE,,,,,Collectorate Campus Pattinamkattan,,,,,,,
,,,,National Academy Central School,CISCE (ICSE),,,,,Pattinamkattan,,,,,,,
,,,,Velumanickam Montessori Matric Higher Sec School,Matriculation,,,,,"Vaani, Ramanathapuram HO",,,,,,,
,,,Thiruppullani,KannadiVappa International School,CBSE,,,,,Koraikuttam / Kilakarai Road,,,,,,,
,,,,Islamiah Matric Higher Sec School,Matriculation,,,,,Kilakarai Region,,,,,,,
,,,,Pearl Matriculation School,Matriculation,,,,,Thiruppullani Perimeter,,,,,,,
,,,,Sri Saraswathi Vidyalaya Matric HSS,Matriculation,,,,,Regunathapuram,,,,,,,
,,,,Dheenya Matric Higher Sec School,Matriculation,,,,,Keelakarai,,,,,,,
,,,Thiruvadanai,Bhaarath International School,CBSE,,,,,"Chinnakeeramangalam, NH536",,,,,,,
,,,,Rajan Matric Higher Sec School,Matriculation,,,,,"Bharathi Nagar, Thiruvadanai",,,,,,,
,,,,Ameer Sulthan Academy School,CBSE/Primary,,,,,"Thondi, Thiruvadanai Region",,,,,,,
,,,,Rajan Nursery and Primary School,Matric/State,,,,,"Bharathinagar, Thiruvadanai",,,,,,,
,,,,Bodhi Vidhyalaya CBSE School,CBSE,,,,,Seyyaloor,,,,,,,
,,,Rajasingamangalam,Holy Angel's Matric Higher Secondary School,Matriculation,,,,,East Rajasingamangalam,,,,,,,
,,,,Winners Matriculation High School,Matriculation,,,,,"Pethardevankottai, R.S. Mangalam",,,,,,,
,,,,St. George Public School,CBSE,,,,,"Near Union Office, Trichy-Rameswaram Highway",,,,,,,
,,,,Excellent Nursery & Primary School,Matric/State,,,,,"Umar Pulavar Street, R.S. Mangalam",,,,,,,
,,,,Aarushi Global School,CBSE / Global,,,,,"Kulamanikkam, Sunthar Nagar",,,,,,,
,,,,Sri Amirta's School,Matriculation,,,,,"Uppoor Region, R.S. Mangalam Perimeter",,,,,,,
,,,,The Amirtha Nursery and Primary School,Matric/State,,,,,"Main Town Sector, Rajasingamangalam",,,,,,,
,,,Paramakudi,Ayira Vaisya Matriculation Higher Secondary School,Matriculation,,,,,Muthalamman Kovil Padithurai Street,,,,,,,
,,,,Don Bosco Matric Higher Secondary School,Matriculation,,,,,"Kattuparamakudi, Ilayangudi Road",,,,,,,
,,,,Dr. ABJ Abdul Kalam Public School,CBSE,,,,,"Otthakadai, Madurai-Rameswaram Highway",,,,,,,
,,,,Lions Matriculation Higher Secondary School,Matriculation,,,,,"National Highway 49, Paramakudi Town",,,,,,,
,,,,Seventh Day Adventist Matriculation School,Matriculation,,,,,"Five Lamp Area, Paramakudi",,,,,,,
,,,,VOC Matriculation School,Matriculation,,,,,Emaneswaram Sector,,,,,,,
,,,,Subhiksha Vidhyalayam Central School,CBSE,,,,,"Peraiyur Road, Paramakudi",,,,,,,
,,,,Udaiyar Matriculation School,Matriculation,,,,,Melakavanoor,,,,,,,
,,,,SMA Matriculation Higher Secondary School,Matriculation,,,,,Kottaimedu District Boundary,,,,,,,
,,,,Ashok Nursery & Primary School,Matric/State,,,,,Parthibanur Region,,,,,,,
,,,Nainarkoil,Meenakshi Matriculation Higher Secondary School,Matriculation,,,,,Paramakudi-Nainarkoil Road,,,,,,,
,,,,M.G Public Matric Higher Secondary School,Matriculation,,,,,"NH 210, Nainarkoil Perimeter",,,,,,,
,,,,Winners Matriculation High School,Matriculation,,,,,Nainarkoil Sub-Sector Border,,,,,,,
,,,,Udaiyar Matriculation School,Matriculation,,,,,"Nainarkoil Main Road, Melakavanoor",,,,,,,
,,,,Apdul Kalam CBSE School,CBSE,,,,,Nainarkoil Region,,,,,,,
,,,,Vasan Matriculation High School,Matriculation,,,,,"Main Town Sector, Nainarkoil",,,,,,,
,,,,Sri Sankara Vidyalaya Nursery And Primary School,Matric/State,,,,,Nainarkoil Block,,,,,,,
,,,Bogalur,Pioneer Homes Matriculation Higher Secondary School,Matriculation,,,,,Sathirakudi Town Sector,,,,,,,
,,,,Allwin Public School,CBSE,,,,,Sathirakudi Region,,,,,,,
,,,,Raja's Nursery and Primary School,Matric/State,,,,,Bogalur Main Junction,,,,,,,
,,,,S.A.B.V. Matriculation School,Matriculation,,,,,Sathirakudi Perimeter,,,,,,,
,,,,Naziya Matriculation School,Matriculation,,,,,Sathirakudi Boundary,,,,,,,
,,,,Sri Krishna Nursery and Primary School,Matric/State,,,,,"Kavanur Region, Bogalur",,,,,,,
,,,,St. Joseph's Matriculation School,Matriculation,,,,,"Sathirakudi, Bogalur Block",,,,,,,
,,,Kadaladi,Don Bosco School Of Excellence,CBSE,,,,,"Sayalgudi Road, Periyanayagi Puram",,,,,,,
,,,,Sri Sangeetha Vidyalaya Matriculation School,Matriculation,,,,,"Sayalgudi Main Road, Karunkulam",,,,,,,
,,,,K.H.N. Higher Secondary School,Matric/State,,,,,Perunali Sector,,,,,,,
,,,,Banu Matric Higher Secondary School,Matriculation,,,,,"Ayesha-Katheeja Campus, Sikkal",,,,,,,
,,,,Indian Matriculation Hr Sec School,Matriculation,,,,,Sikkal Junction Region,,,,,,,
,,,,ILM Matriculation School,Matriculation,,,,,Narippaiyur Coast Road,,,,,,,
,,,,Roja Matric Higher Secondary School,Matriculation,,,,,Kadaladi Main Sector,,,,,,,
,,,,Anjaneya Matriculation School,Matriculation,,,,,Sivapuram Boundary,,,,,,,
,,,Kamuthi,Kshatriya Vidyasala Matriculation Higher Secondary School,Matriculation,,,,,"K.V.S. Street, Kamuthi Town",,,,,,,
,,,,National Academy Central School,CBSE,,,,,"Mudukulathur Road, Kamuthi",,,,,,,
,,,,S.M.A. Matriculation Higher Secondary School,Matriculation,,,,,Chettiyar Bazar Sector,,,,,,,
,,,,Raja Nursery and Primary School,Matric/State,,,,,"Main Bazar Area, Kamuthi",,,,,,,
,,,,Saraswathi Vidyalaya Matric School,Matriculation,,,,,Kottaimedu Region,,,,,,,
,,,,Al-Ameen Matriculation High School,Matriculation,,,,,Peraiyur Road Boundary,,,,,,,
,,,,Vivekananda Matriculation School,Matriculation,,,,,Mandalamanickam Sector,,,,,,,
,,,Mudukulathur,Thevangar Matriculation Higher Secondary School,Matriculation,,,,,"Thevangar Nagar, Mudukulathur",,,,,,,
,,,,Annai Indira Memorial Public School,CBSE,,,,,"Paramakudi Road, Mudukulathur",,,,,,,
,,,,St. Mary's Matriculation School,Matriculation,,,,,"Church Street, Mudukulathur Town",,,,,,,
,,,,Raja Nursery and Primary School,Matric/State,,,,,Main Bazar Sector,,,,,,,
,,,,Subash Matriculation School,Matriculation,,,,,Kamuthi Highway Boundary,,,,,,,
,,,,Melchior Matriculation School,Matriculation,,,,,"Sellur Perimeter, Mudukulathur",,,,,,,
,,,,Al-Ameen Nursery and Primary School,Matric/State,,,,,Kadaladi Road Sector,,,,,,,
,,Virudhunagar,Virudhunagar Block,P.S. Chidambara Nadar Senior English School,CBSE,,,,,"Service Road, GT Nagar",,,,,,,
,,,,KVS Matriculation Higher Secondary School,Matriculation,,,,,Kooraikundu Sector,,,,,,,
,,,,Kshatriya Vidhyasala Centenary School,CBSE,,,,,Ramamoorthy Road,,,,,,,
,,,,Noble Matriculation Higher Secondary School,Matriculation,,,,,Periavallikulam Road,,,,,,,
,,,,V.M.G.R.R. Sri Sarada Sakthi Matric Higher Secondary School,Matriculation,,,,,"Sivagami Puram, Ramamoorthy Rd",,,,,,,
,,,,Wisdom Wealth International School,CBSE / International,,,,,"Inamreddiapatti, Sattur Highway",,,,,,,
,,,,SFS Matriculation School,Matriculation,,,,,"Mallankinaru Road, Pandian Nagar",,,,,,,
,,,,Saraswathi Ammal Lions Matriculation School,Matriculation,,,,,"Aruppukottai Road, Anna Nagar",,,,,,,
,,,,MVM School CBSE,CBSE,,,,,Hanumaan Nagar Sector,,,,,,,
,,,,Seventh Day Adventist School,Matriculation,,,,,"SH 184, MGR Nagar",,,,,,,
,,,Sivakasi Block,The Sivakasi Lions Matriculation Higher Secondary School,Matriculation,,,,,"Virudhu Nagar Road, Anaikuttam",,,,,,,
,,,,Hayagrivas International School,CBSE,,,,,"Hayagrivas Gardens, Pernaickenpatti",,,,,,,
,,,,YRTV Matriculation Higher Secondary School,Matriculation,,,,,Chairman AR Arunachalam Road,,,,,,,
,,,,Mount Litera Zee School Sivakasi,CBSE,,,,,Sivakasi-Vembakottai Main Road,,,,,,,
,,,,Sivakasi Jaycees Matriculation Hr Sec School,Matriculation,,,,,"Vilampatti Road, Anaiyur Post",,,,,,,
,,,,Shenbaga Vinayagar Matriculation Higher Secondary School,Matriculation,,,,,"Vembakkottai Road, Kaliappa Nagar",,,,,,,
,,,,Sidharajaa International School,CBSE / Global,,,,,Sivakasi West Perimeter,,,,,,,
,,,,Good Shepherd Matriculation School,Matriculation,,,,,"Near AJ College, Enjar Cross",,,,,,,
,,,,Glory Matriculation Higher Secondary School,Matriculation,,,,,"828 S.N. Puram Road, Thiruthangal",,,,,,,
,,,,Sruthi Vidhyodhaya School,CBSE-Primary,,,,,"Gnanagiri Road, Sivakasi East",,,,,,,
,,,Sattur Block,Sun Indiya Public School,CBSE,,,,,Sattur Town Boundary,,,,,,,
,,,,Dr. Radhakrishnan Vidyalaya Matriculation Higher Secondary School,Matriculation,,,,,"Railway Feeder Road, Sattur",,,,,,,
,,,,Sattur KMT Vidhyalaya (SKMTV),CBSE,,,,,Sattur Town Sector,,,,,,,
,,,,Lalitha Lal Bahadur Shastri Public School,CBSE/Primary,,,,,"Rajiv Gandhi Nagar, Sattur Taluk",,,,,,,
,,,,Ambal Vidyalaya Matriculation School,Matriculation,,,,,"Padanthal Road, Sattur",,,,,,,
,,,,Sri Ramana Matriculation Higher Secondary School,Matriculation,,,,,Elayirampannai Sector,,,,,,,
,,,,St. Joseph's Nursery and Primary School,Matric/State,,,,,"Main Bazar, Sattur Perimeter",,,,,,,
,,,Aruppukottai Block,Chandra National School,CBSE,,,,,"Virudhunagar Main Rd, P. Puliampatti",,,,,,,
,,,,SBK International School,CBSE,,,,,"Vasantham Nagar, Aruppukottai",,,,,,,
,,,,Sree Sowdambika International School,CBSE,,,,,Sri Sowdambika Campus,,,,,,,
,,,,Minerva Public School,CBSE,,,,,"Ramasamy Nagar, Puliakulam",,,,,,,
,,,,SBKKSS Thiyagarajan Memorial Matriculation School,Matriculation,,,,,S.B.K. Elementary School Road,,,,,,,
,,,,Iqra Matriculation School,Matriculation,,,,,"Near Municipal Park, Azeez Nagar",,,,,,,
,,,,Chandra Chutty School,CBSE/Primary,,,,,"Old Bus Stand Road, P.Puliampatti",,,,,,,
,,,,Noble International Public School,CBSE,,,,,Aruppukottai Town Boundary,,,,,,,
,,,,Green Wisdom Matriculation School,Matriculation,,,,,Vasantham Nagar Sector,,,,,,,
,,,,Joseph Carmel Convent Matriculation School,Matriculation,,,,,Aruppukottai Town Region,,,,,,,
,,,Rajapalayam Block,St. Joseph International School,CBSE,,,,,"Thirunelveli Bypass Road, Vadakku Venganallur",,,,,,,
,,,,Maharishi Vidya Mandir Senior Secondary School,CBSE,,,,,Senbaga Thoppu Road,,,,,,,
,,,,Casa Di Mir Matriculation Higher Secondary School,Matriculation,,,,,Ayyanar Koil Road,,,,,,,
,,,,Sri Ramana Academy CBSE,CBSE,,,,,"K.R. Nagar, Ramana Nagar",,,,,,,
,,,,Chinmaya Vidyalaya Srimathi Lingammal Ramaraju Matric HSS,Matriculation,,,,,Ramco Institute of Technology Road,,,,,,,
,,,,Vaima Vidyalaya,Matric/State,,,,,"PSK Nagar, Srirengapalayam",,,,,,,
,,,,Sri Ayyan Kendra Vidyalaya International CBSE School,CBSE,,,,,"Main Town Sector, Rajapalayam",,,,,,,
,,,,Ananda Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Ayyanar Kovil Salai,,,,,,,
,,,,Mitra Pre School,CBSE/Primary,,,,,"Sudarsan Garden, Bharthi Nagar",,,,,,,
,,,,KKG Empowering Kids,International/Prep,,,,,"Sudarshan Gardens, PACR Salai",,,,,,,
,,,Kariapatti Block,Sri Sabari National School,CBSE,,,,,"Kazhuvanacheri Road, Kariapatti",,,,,,,
,,,,CEOA Matriculation Higher Secondary School,Matriculation,,,,,"S.Kallupatti, Kariapatti",,,,,,,
,,,,St Marys Matriculation School,Matriculation,,,,,Kariapatti Town Sector,,,,,,,
,,,,Saratha Matriculation School,Matriculation,,,,,"SH 47, M.Reddiapatti",,,,,,,
,,,,Sri Meenakshi Chutty's School,CBSE/Primary,,,,,"3rd Street, Kariapatti Town",,,,,,,
,,,,Srisabari Play & Nursery School,International/Prep,,,,,"Thiruchuli Road, Kariapatti",,,,,,,
,,,Srivilliputhur Block,VPMM International School,CBSE,,,,,"VPMM Campus, Krishnankoil",,,,,,,
,,,,KVS Matriculation Higher Secondary School,Matriculation,,,,,"Madurai Road, Srivilliputhur Town",,,,,,,
,,,,Sivakasi Lions Matriculation School Srivilliputhur Branch,Matriculation,,,,,Virudhunagar Highway Sector,,,,,,,
,,,,Sri Nachiar Vidyalaya CBSE School,CBSE,,,,,Madanayakanpatti Road,,,,,,,
,,,,Ebenezer Matriculation Higher Secondary School,Matriculation,,,,,Atchankulam Perimeter,,,,,,,
,,,,Mangalam Matriculation School,Matriculation,,,,,Srivilliputhur Main Town,,,,,,,
,,,,Thamarai Kids Prep School,CBSE/Primary,,,,,Pennaiyar Salai Sector,,,,,,,
,,,Watrap Block,Rangarao Lions Matriculation Higher Secondary School,Matriculation,,,,,"Koomapatty Road, Watrap Town",,,,,,,
,,,,Linga Global School,CBSE,,,,,"Anand Nagar, Krishnan Kovil",,,,,,,
,,,,Kalaimagal Higher Secondary School,Matric/State,,,,,Sundarapandiam Road,,,,,,,
,,,,Greenfields Nursery and Primary School,Matric/State,,,,,"Main Town Sector, Watrap",,,,,,,
,,,,Sri Vidya Matriculation Higher Secondary School,Matriculation,,,,,Watrap Perimeter,,,,,,,
,,,,Sharada Sakthi Matriculation School,Matriculation,,,,,Vathirairuppu Region,,,,,,,
,,,Tiruchuli Block,Sri Sabari National School (Branch Track),CBSE,,,,,Kariapatti-Tiruchuli Highway,,,,,,,
,,,,Raja's Nursery and Primary School,Matric/State,,,,,Tiruchuli Town Junction,,,,,,,
,,,,Vivekananda Matriculation High School,Matriculation,,,,,"Main Town Sector, Tiruchuli",,,,,,,
,,,,Sri Krishna Academy Nursery & Primary School,Matric/State,,,,,Mandapasalai Region,,,,,,,
,,,,St. Joseph's Matriculation School,Matriculation,,,,,Tiruchuli Perimeter Boundary,,,,,,,
,,,Vembakottai Block,Tancem Educational Trust Matriculation Higher Secondary School,Matriculation,,,,,"Tnc Colony, Alangulam",,,,,,,
